Country Name,Country Code,Indicator Name GDP,Year,GDP,Indicator Name LifeExp,Life Expectancy
United Kingdom,GBR,GDP (current US$),1977,263066457352.172,"Life expectancy at birth, total (years)",73.2243902439024
Mexico,MEX,GDP (current US$),1977,81912018783.5024,"Life expectancy at birth, total (years)",63.434
Peru,PER,GDP (current US$),1977,,"Life expectancy at birth, total (years)",58.617
United States,USA,GDP (current US$),1977,2081826000000.0,"Life expectancy at birth, total (years)",73.2560975609756
Chile,CHL,GDP (current US$),1978,15992038535.2046,"Life expectancy at birth, total (years)",68.074
China,CHN,GDP (current US$),1978,149540752829.268,"Life expectancy at birth, total (years)",63.218
United Kingdom,GBR,GDP (current US$),1978,335883029721.956,"Life expectancy at birth, total (years)",73.1756097560976
Mexico,MEX,GDP (current US$),1978,102648570299.117,"Life expectancy at birth, total (years)",63.778
Peru,PER,GDP (current US$),1978,,"Life expectancy at birth, total (years)",58.973
United States,USA,GDP (current US$),1978,2351599000000.0,"Life expectancy at birth, total (years)",73.3560975609756
Chile,CHL,GDP (current US$),1979,21806136345.5074,"Life expectancy at birth, total (years)",68.186
China,CHN,GDP (current US$),1979,178280594413.043,"Life expectancy at birth, total (years)",63.865
United Kingdom,GBR,GDP (current US$),1979,438994070309.191,"Life expectancy at birth, total (years)",73.2756097560976
Mexico,MEX,GDP (current US$),1979,134531900898.926,"Life expectancy at birth, total (years)",64.189
Peru,PER,GDP (current US$),1979,,"Life expectancy at birth, total (years)",59.303
United States,USA,GDP (current US$),1979,2627333000000.0,"Life expectancy at birth, total (years)",73.8048780487805
Chile,CHL,GDP (current US$),1980,29036709871.7949,"Life expectancy at birth, total (years)",68.84
China,CHN,GDP (current US$),1980,191149211575.0,"Life expectancy at birth, total (years)",64.42
United Kingdom,GBR,GDP (current US$),1980,564947710899.373,"Life expectancy at birth, total (years)",73.6756097560976
Mexico,MEX,GDP (current US$),1980,205577055465.993,"Life expectancy at birth, total (years)",64.703
Peru,PER,GDP (current US$),1980,,"Life expectancy at birth, total (years)",59.589
United States,USA,GDP (current US$),1980,2857307000000.0,"Life expectancy at birth, total (years)",73.609756097561
Chile,CHL,GDP (current US$),1981,34509878043.5897,"Life expectancy at birth, total (years)",69.909
China,CHN,GDP (current US$),1981,195866382432.54,"Life expectancy at birth, total (years)",64.975
United Kingdom,GBR,GDP (current US$),1981,540765675241.158,"Life expectancy at birth, total (years)",74.0268292682927
Mexico,MEX,GDP (current US$),1981,263797827860.494,"Life expectancy at birth, total (years)",65.313
Peru,PER,GDP (current US$),1981,,"Life expectancy at birth, total (years)",59.847
United States,USA,GDP (current US$),1981,3207041000000.0,"Life expectancy at birth, total (years)",74.009756097561
Chile,CHL,GDP (current US$),1982,19529291464.7274,"Life expectancy at birth, total (years)",70.299
China,CHN,GDP (current US$),1982,205089699858.779,"Life expectancy at birth, total (years)",65.463
United Kingdom,GBR,GDP (current US$),1982,515048916841.37,"Life expectancy at birth, total (years)",74.1780487804878
Mexico,MEX,GDP (current US$),1982,184602611609.517,"Life expectancy at birth, total (years)",65.975
Peru,PER,GDP (current US$),1982,15203143381.0,"Life expectancy at birth, total (years)",60.015
United States,USA,GDP (current US$),1982,3343789000000.0,"Life expectancy at birth, total (years)",74.3609756097561
Chile,CHL,GDP (current US$),1983,20362016672.278,"Life expectancy at birth, total (years)",70.011
China,CHN,GDP (current US$),1983,230686747153.257,"Life expectancy at birth, total (years)",65.904
United Kingdom,GBR,GDP (current US$),1983,489618008185.539,"Life expectancy at birth, total (years)",74.3780487804878
Mexico,MEX,GDP (current US$),1983,156167000432.994,"Life expectancy at birth, total (years)",66.644
Peru,PER,GDP (current US$),1983,14124541992.5,"Life expectancy at birth, total (years)",60.161
United States,USA,GDP (current US$),1983,3634038000000.0,"Life expectancy at birth, total (years)",74.4634146341463
Chile,CHL,GDP (current US$),1984,19671768024.4581,"Life expectancy at birth, total (years)",70.46
China,CHN,GDP (current US$),1984,259946510957.143,"Life expectancy at birth, total (years)",66.3
United Kingdom,GBR,GDP (current US$),1984,461487097632.349,"Life expectancy at birth, total (years)",74.7780487804878
Mexico,MEX,GDP (current US$),1984,184230754105.394,"Life expectancy at birth, total (years)",67.29
Peru,PER,GDP (current US$),1984,20339340469.3333,"Life expectancy at birth, total (years)",60.467
United States,USA,GDP (current US$),1984,4037613000000.0,"Life expectancy at birth, total (years)",74.5634146341464
Chile,CHL,GDP (current US$),1985,17717662227.8036,"Life expectancy at birth, total (years)",71.176
China,CHN,GDP (current US$),1985,309488028132.653,"Life expectancy at birth, total (years)",66.643
United Kingdom,GBR,GDP (current US$),1985,489285164271.047,"Life expectancy at birth, total (years)",74.6292682926829
Mexico,MEX,GDP (current US$),1985,195241069482.077,"Life expectancy at birth, total (years)",67.874
Peru,PER,GDP (current US$),1985,15044388198.1818,"Life expectancy at birth, total (years)",61.292
United States,USA,GDP (current US$),1985,4338979000000.0,"Life expectancy at birth, total (years)",74.5634146341464
Chile,CHL,GDP (current US$),1986,18897110625.5242,"Life expectancy at birth, total (years)",71.81
China,CHN,GDP (current US$),1986,300758100107.246,"Life expectancy at birth, total (years)",66.97
United Kingdom,GBR,GDP (current US$),1986,601452653180.885,"Life expectancy at birth, total (years)",74.9292682926829
Mexico,MEX,GDP (current US$),1986,134556034672.991,"Life expectancy at birth, total (years)",68.388
Peru,PER,GDP (current US$),1986,21777475654.2857,"Life expectancy at birth, total (years)",62.024
United States,USA,GDP (current US$),1986,4579631000000.0,"Life expectancy at birth, total (years)",74.6146341463415
Chile,CHL,GDP (current US$),1987,22250729666.7937,"Life expectancy at birth, total (years)",72.54
